PassengerId,Survived,Pclass,Sex,SibSp,Parch,Fare,Cabin,Embarked,Age
1,0,3,1,1,0,7.25,0,3,22
2,1,1,0,1,0,71.2833,1,1,38
3,1,3,0,0,0,7.925,0,3,26
4,1,1,0,1,0,53.1,1,3,35
5,0,3,1,0,0,8.05,0,3,35
6,0,3,1,0,0,8.4583,0,2,
7,0,1,1,0,0,51.8625,1,3,54
8,0,3,1,3,1,21.075,0,3,2
9,1,3,0,0,2,11.1333,0,3,27
10,1,2,0,1,0,30.0708,0,1,14
11,1,3,0,1,1,16.7,1,3,4
12,1,1,0,0,0,26.55,1,3,58
13,0,3,1,0,0,8.05,0,3,20
14,0,3,1,1,5,31.275,0,3,39
15,0,3,0,0,0,7.8542,0,3,14
16,1,2,0,0,0,16,0,3,55
17,0,3,1,4,1,29.125,0,2,2
18,1,2,1,0,0,13,0,3,
19,0,3,0,1,0,18,0,3,31
20,1,3,0,0,0,7.225,0,1,
21,0,2,1,0,0,26,0,3,35
22,1,2,1,0,0,13,1,3,34
23,1,3,0,0,0,8.0292,0,2,15
24,1,1,1,0,0,35.5,1,3,28
25,0,3,0,3,1,21.075,0,3,8
26,1,3,0,1,5,31.3875,0,3,38
27,0,3,1,0,0,7.225,0,1,
28,0,1,1,3,2,263,1,3,19
29,1,3,0,0,0,7.8792,0,2,
30,0,3,1,0,0,7.8958,0,3,
31,0,1,1,0,0,27.7208,0,1,40
32,1,1,0,1,0,146.5208,1,1,
33,1,3,0,0,0,7.75,0,2,
34,0,2,1,0,0,10.5,0,3,66
35,0,1,1,1,0,82.1708,0,1,28
36,0,1,1,1,0,52,0,3,42
37,1,3,1,0,0,7.2292,0,1,
38,0,3,1,0,0,8.05,0,3,21
39,0,3,0,2,0,18,0,3,18
40,1,3,0,1,0,11.2417,0,1,14
41,0,3,0,1,0,9.475,0,3,40
42,0,2,0,1,0,21,0,3,27
43,0,3,1,0,0,7.8958,0,1,
44,1,2,0,1,2,41.5792,0,1,3
45,1,3,0,0,0,7.8792,0,2,19
46,0,3,1,0,0,8.05,0,3,
47,0,3,1,1,0,15.5,0,2,
48,1,3,0,0,0,7.75,0,2,
49,0,3,1,2,0,21.6792,0,1,
50,0,3,0,1,0,17.8,0,3,18
51,0,3,1,4,1,39.6875,0,3,7
52,0,3,1,0,0,7.8,0,3,21
53,1,1,0,1,0,76.7292,1,1,49
54,1,2,0,1,0,26,0,3,29
55,0,1,1,0,1,61.9792,1,1,65
56,1,1,1,0,0,35.5,1,3,
57,1,2,0,0,0,10.5,0,3,21
58,0,3,1,0,0,7.2292,0,1,28.5
59,1,2,0,1,2,27.75,0,3,5
60,0,3,1,5,2,46.9,0,3,11
61,0,3,1,0,0,7.2292,0,1,22
62,1,1,0,0,0,80,1,0,38
63,0,1,1,1,0,83.475,1,3,45
64,0,3,1,3,2,27.9,0,3,4
65,0,1,1,0,0,27.7208,0,1,
66,1,3,1,1,1,15.2458,0,1,
67,1,2,0,0,0,10.5,1,3,29
68,0,3,1,0,0,8.1583,0,3,19
69,1,3,0,4,2,7.925,0,3,17
70,0,3,1,2,0,8.6625,0,3,26
71,0,2,1,0,0,10.5,0,3,32
72,0,3,0,5,2,46.9,0,3,16
73,0,2,1,0,0,73.5,0,3,21
74,0,3,1,1,0,14.4542,0,1,26
75,1,3,1,0,0,56.4958,0,3,32
76,0,3,1,0,0,7.65,1,3,25
77,0,3,1,0,0,7.8958,0,3,
78,0,3,1,0,0,8.05,0,3,
79,1,2,1,0,2,29,0,3,0.83
80,1,3,0,0,0,12.475,0,3,30
81,0,3,1,0,0,9,0,3,22
82,1,3,1,0,0,9.5,0,3,29
83,1,3,0,0,0,7.7875,0,2,
84,0,1,1,0,0,47.1,0,3,28
85,1,2,0,0,0,10.5,0,3,17
86,1,3,0,3,0,15.85,0,3,33
87,0,3,1,1,3,34.375,0,3,16
88,0,3,1,0,0,8.05,0,3,
89,1,1,0,3,2,263,1,3,23
90,0,3,1,0,0,8.05,0,3,24
91,0,3,1,0,0,8.05,0,3,29
92,0,3,1,0,0,7.8542,0,3,20
93,0,1,1,1,0,61.175,1,3,46
94,0,3,1,1,2,20.575,0,3,26
95,0,3,1,0,0,7.25,0,3,59
96,0,3,1,0,0,8.05,0,3,
97,0,1,1,0,0,34.6542,1,1,71
98,1,1,1,0,1,63.3583,1,1,23
99,1,2,0,0,1,23,0,3,34
100,0,2,1,1,0,26,0,3,34
101,0,3,0,0,0,7.8958,0,3,28
102,0,3,1,0,0,7.8958,0,3,
103,0,1,1,0,1,77.2875,1,3,21
104,0,3,1,0,0,8.6542,0,3,33
105,0,3,1,2,0,7.925,0,3,37
106,0,3,1,0,0,7.8958,0,3,28
107,1,3,0,0,0,7.65,0,3,21
108,1,3,1,0,0,7.775,0,3,
109,0,3,1,0,0,7.8958,0,3,38
110,1,3,0,1,0,24.15,0,2,
111,0,1,1,0,0,52,1,3,47
112,0,3,0,1,0,14.4542,0,1,14.5
113,0,3,1,0,0,8.05,0,3,22
114,0,3,0,1,0,9.825,0,3,20
115,0,3,0,0,0,14.4583,0,1,17
116,0,3,1,0,0,7.925,0,3,21
117,0,3,1,0,0,7.75,0,2,70.5
118,0,2,1,1,0,21,0,3,29
119,0,1,1,0,1,247.5208,1,1,24
120,0,3,0,4,2,31.275,0,3,2
121,0,2,1,2,0,73.5,0,3,21
122,0,3,1,0,0,8.05,0,3,
123,0,2,1,1,0,30.0708,0,1,32.5
124,1,2,0,0,0,13,1,3,32.5
125,0,1,1,0,1,77.2875,1,3,54
126,1,3,1,1,0,11.2417,0,1,12
127,0,3,1,0,0,7.75,0,2,
128,1,3,1,0,0,7.1417,0,3,24
129,1,3,0,1,1,22.3583,1,1,
130,0,3,1,0,0,6.975,0,3,45
131,0,3,1,0,0,7.8958,0,1,33
132,0,3,1,0,0,7.05,0,3,20
133,0,3,0,1,0,14.5,0,3,47
134,1,2,0,1,0,26,0,3,29
135,0,2,1,0,0,13,0,3,25
136,0,2,1,0,0,15.0458,0,1,23
137,1,1,0,0,2,26.2833,1,3,19
138,0,1,1,1,0,53.1,1,3,37
139,0,3,1,0,0,9.2167,0,3,16
140,0,1,1,0,0,79.2,1,1,24
141,0,3,0,0,2,15.2458,0,1,
142,1,3,0,0,0,7.75,0,3,22
143,1,3,0,1,0,15.85,0,3,24
144,0,3,1,0,0,6.75,0,2,19
145,0,2,1,0,0,11.5,0,3,18
